cod_barrio,barrio,cluster,cluster_nombre,dim_poblacion_extranjera,dim_poblacion_joven,dim_hosteleria,dim_alquiler,dim_envejecimiento,indice_gentrificacion,nivel_gentrificacion
154,154. La Concepción,2,Barrios residenciales estables,0.3482,0.5623,0.1957,0.3208,0.4798,0.3814,N3 - Sin dinámicas gentrificadoras
43,043. Fuente del Berro,2,Barrios residenciales estables,0.2958,0.5339,0.2207,0.395,0.4501,0.3791,N3 - Sin dinámicas gentrificadoras
212,212. Aeropuerto,1,Barrios en transformación,0.3221,0.4586,0.2767,0.2441,0.59,0.3783,N3 - Sin dinámicas gentrificadoras
76,076. Vallehermoso,2,Barrios residenciales estables,0.2158,0.5414,0.2303,0.439,0.4619,0.3777,N3 - Sin dinámicas gentrificadoras
144,144. Media Legua,2,Barrios residenciales estables,0.3048,0.5002,0.1695,0.5633,0.3366,0.3749,N3 - Sin dinámicas gentrificadoras
56,056. Castilla,2,Barrios residenciales estables,0.3096,0.5832,0.2238,0.3069,0.4452,0.3737,N3 - Sin dinámicas gentrificadoras
192,192. Valdebernardo,2,Barrios residenciales estables,0.3121,0.6176,0.1675,0.4747,0.2877,0.3719,N3 - Sin dinámicas gentrificadoras
26,026. Palos de la Frontera,2,Barrios residenciales estables,0.2896,0.5762,0.2012,0.366,0.415,0.3696,N3 - Sin dinámicas gentrificadoras
93,093. Ciudad Universitaria,2,Barrios residenciales estables,0.0897,0.4922,0.4088,0.4089,0.4438,0.3687,N3 - Sin dinámicas gentrificadoras
25,025. Delicias,2,Barrios residenciales estables,0.2569,0.5429,0.2106,0.3474,0.4695,0.3655,N3 - Sin dinámicas gentrificadoras
207,207. Canillejas,1,Barrios en transformación,0.4062,0.5019,0.1485,0.2856,0.4655,0.3615,N3 - Sin dinámicas gentrificadoras
95,095. Valdemarín,2,Barrios residenciales estables,0.0254,0.4337,0.4242,0.3973,0.502,0.3565,N3 - Sin dinámicas gentrificadoras
81,081. El Pardo,2,Barrios residenciales estables,0.1198,0.4003,0.3639,0.3019,0.5709,0.3514,N3 - Sin dinámicas gentrificadoras
205,205. Rosas,2,Barrios residenciales estables,0.1527,0.4994,0.4823,0.2771,0.3338,0.3491,N3 - Sin dinámicas gentrificadoras
215,215. Corralejos,2,Barrios residenciales estables,0.1194,0.301,0.5282,0.2399,0.5563,0.349,N3 - Sin dinámicas gentrificadoras
86,086. Valverde,2,Barrios residenciales estables,0.2948,0.3492,0.2296,0.3079,0.5578,0.3479,N3 - Sin dinámicas gentrificadoras
53,053. Ciudad Jardín,2,Barrios residenciales estables,0.2699,0.5321,0.1617,0.3568,0.4143,0.347,N3 - Sin dinámicas gentrificadoras
84,084. Pilar,2,Barrios residenciales estables,0.2801,0.4768,0.1484,0.3473,0.4741,0.3453,N3 - Sin dinámicas gentrificadoras
206,206. Rejas,2,Barrios residenciales estables,0.3125,0.3337,0.2508,0.2758,0.5471,0.344,N3 - Sin dinámicas gentrificadoras
94,094. Valdezarza,2,Barrios residenciales estables,0.2537,0.515,0.1026,0.378,0.4634,0.3425,N3 - Sin dinámicas gentrificadoras
91,091. Casa de Campo,2,Barrios residenciales estables,0.1319,0.4985,0.2617,0.4061,0.41,0.3416,N3 - Sin dinámicas gentrificadoras
51,051. El Viso,2,Barrios residenciales estables,0.138,0.4937,0.2404,0.3882,0.4311,0.3383,N3 - Sin dinámicas gentrificadoras
55,055. Nueva España,2,Barrios residenciales estables,0.1911,0.4549,0.2251,0.3433,0.4629,0.3355,N3 - Sin dinámicas gentrificadoras
213,213. Casco Histórico de Barajas,2,Barrios residenciales estables,0.2271,0.5031,0.254,0.2579,0.4164,0.3317,N3 - Sin dinámicas gentrificadoras
52,052. Prosperidad,2,Barrios residenciales estables,0.2656,0.5227,0.1721,0.3403,0.3496,0.3301,N3 - Sin dinámicas gentrificadoras
155,155. San Pascual,2,Barrios residenciales estables,0.267,0.5038,0.1833,0.3188,0.3694,0.3285,N3 - Sin dinámicas gentrificadoras
141,141. Pavones,2,Barrios residenciales estables,0.153,0.413,0.2915,0.5696,0.2148,0.3284,N3 - Sin dinámicas gentrificadoras
208,208. El Salvador,2,Barrios residenciales estables,0.2052,0.5211,0.3153,0.3002,0.2918,0.3267,N3 - Sin dinámicas gentrificadoras
54,054. Hispanoamérica,2,Barrios residenciales estables,0.1718,0.4595,0.1929,0.3626,0.4357,0.3245,N3 - Sin dinámicas gentrificadoras
157,157. Colina,2,Barrios residenciales estables,0.2211,0.4338,0.1489,0.3438,0.4636,0.3222,N3 - Sin dinámicas gentrificadoras
143,143. Marroquina,2,Barrios residenciales estables,0.1726,0.458,0.1523,0.5689,0.2531,0.321,N3 - Sin dinámicas gentrificadoras
31,031. Pacífico,2,Barrios residenciales estables,0.2753,0.5274,0.1212,0.3331,0.3173,0.3149,N3 - Sin dinámicas gentrificadoras
96,096. El Plantío,2,Barrios residenciales estables,0.22,0.407,0.0927,0.3487,0.4893,0.3115,N3 - Sin dinámicas gentrificadoras
156,156. San Juan Bautista,2,Barrios residenciales estables,0.1969,0.4468,0.1912,0.3215,0.3837,0.308,N3 - Sin dinámicas gentrificadoras
158,158. Atalaya,2,Barrios residenciales estables,0.1639,0.5191,0.0911,0.3203,0.4446,0.3078,N3 - Sin dinámicas gentrificadoras
