cod_barrio,barrio,cluster,cluster_nombre,alquiler_2023,catastral_m2,pct_extranjera,pct_hosteleria_2023,pct_pob_2044,var_alquiler_dist_1823
163,163. Canillas,2,Barrios residenciales estables,13.57,1180.59,11.14,19.19,28.52,8.6
164,164. Pinar del Rey,2,Barrios residenciales estables,14.03,1114.32,13.52,16.99,30.07,8.6
165,165. Apóstol Santiago,2,Barrios residenciales estables,13.15,1089.67,11.64,22.73,30.26,8.6
166,166. Valdefuentes,2,Barrios residenciales estables,14.12,1184.41,11.49,27.7,32.69,8.6
173,173. Butarque,2,Barrios residenciales estables,11.76,698.66,15.59,22.97,32.78,26.67
182,182. Santa Eugenia,2,Barrios residenciales estables,12.44,658.86,11.46,21.11,30.12,18.29
192,192. Valdebernardo,2,Barrios residenciales estables,12.95,816.12,9.65,21.17,30.1,20.08
193,193. Valderrivas,2,Barrios residenciales estables,10.97,751.62,4.44,21.95,21.8,20.08
205,205. Rosas,2,Barrios residenciales estables,12.19,955.22,6.63,31.44,26.13,15.24
206,206. Rejas,2,Barrios residenciales estables,12.14,911.59,19.79,20.68,34.15,15.24
208,208. El Salvador,2,Barrios residenciales estables,13.11,858.45,9.66,29.67,28.66,15.24
211,211. Alameda de Osuna,2,Barrios residenciales estables,12.52,1114.02,7.14,25.0,24.68,14.0
213,213. Casco Histórico de Barajas,2,Barrios residenciales estables,13.25,1085.97,19.83,27.3,36.48,14.0
214,214. Timón,2,Barrios residenciales estables,12.51,946.97,10.76,27.07,32.74,14.0
215,215. Corralejos,2,Barrios residenciales estables,12.53,1190.9,7.23,46.89,24.68,14.0
