cod_barrio,barrio,pob_total,pct_extranjera,pct_65mas,pct_pob_2044,pct_extranjera_2044,var_extranjera_1823,var_65mas_1823,var_pob_2044_1823,var_extranjera_2044_1823,pct_hosteleria_2023,pct_servicios_prof,pct_comercio_tradicional,pct_inmobiliario,var_hosteleria_1823,alquiler_2023,var_alquiler_dist_1823,catastral_m2,var_catastral_m2_2023
086,086. Valverde,64756,14.2,12.15,31.98,8.05,3.41,0.38,-4.64,1.63,23.99,5.47,40.34,1.08,0.27,13.67,15.07,1073.2,-0.87
087,087. Mirasierra,35676,5.19,15.85,28.39,2.48,0.36,1.43,-1.79,0.16,24.57,3.16,50.36,1.22,0.5,13.68,15.07,1149.16,-0.11
088,088. El Goloso,19036,6.25,8.51,27.11,3.14,1.23,0.32,-9.24,0.13,30.02,3.97,37.09,0.66,-0.31,13.92,15.07,1064.41,-0.86
091,091. Casa de Campo,12767,9.06,25.52,30.68,4.95,1.03,0.61,-0.11,0.28,28.62,3.9,49.59,0.81,-0.14,16.01,16.14,1109.62,-0.1
092,092. Argüelles,24497,16.16,24.44,35.66,10.65,4.34,-0.76,0.87,3.08,25.78,4.01,48.95,1.48,0.43,19.1,16.14,1882.39,-0.08
093,093. Ciudad Universitaria,16364,9.96,25.55,31.34,5.82,0.64,0.07,-0.49,-0.36,37.2,4.33,28.79,0.38,3.55,16.12,16.14,1292.7,0.33
094,094. Valdezarza,30484,12.92,24.86,32.1,7.67,2.51,-0.13,-0.1,1.22,15.27,4.18,50.18,1.27,-2.34,14.89,16.14,1135.8,0.13
095,095. Valdemarín,7156,8.78,11.92,27.29,4.0,-0.69,1.3,-0.83,-0.79,48.11,0.0,30.19,0.94,-0.46,15.66,16.14,1209.96,-0.5
096,096. El Plantío,3044,10.71,19.91,26.48,4.6,2.62,0.24,-1.31,1.36,20.34,5.08,50.28,0.56,-5.07,13.72,16.14,1223.35,-0.02
097,097. Aravaca,27445,10.76,16.81,29.05,5.07,1.45,2.38,-0.07,0.41,18.18,6.36,49.09,2.0,-1.46,14.28,16.14,1094.6,0.27
101,101. Los Cármenes,17903,18.8,16.95,34.25,11.15,5.38,-0.41,2.28,3.3,25.86,4.48,42.41,1.03,0.7,13.15,23.45,860.46,-0.05
102,102. Puerta del Ángel,43292,22.9,19.6,37.8,14.13,4.79,-1.35,1.79,2.91,17.63,4.42,52.25,0.98,2.04,15.68,23.45,937.69,0.01
103,103. Lucero,36749,20.4,21.6,33.49,11.96,4.85,-1.39,1.43,2.66,17.98,4.46,54.46,1.79,-1.68,12.45,23.45,913.92,-0.07
104,104. Aluche,66587,19.04,28.66,29.98,10.39,4.04,-1.49,-0.3,1.83,19.13,3.48,56.2,1.03,0.13,12.44,23.45,880.69,-0.06
105,105. Campamento,19749,24.12,22.93,33.61,14.52,7.08,-1.08,0.39,4.23,16.18,7.35,48.77,2.45,1.41,13.13,23.45,846.09,0.0
106,106. Cuatro Vientos,6122,10.5,7.42,33.57,5.78,4.53,1.19,-8.11,2.42,21.21,6.06,37.37,0.0,3.82,13.1,23.45,911.17,-0.7
107,107. Águilas,51267,14.01,27.53,28.12,7.54,3.56,-0.71,-0.7,1.88,17.83,3.55,60.31,1.53,-0.65,11.73,23.45,737.34,-0.09
111,111. Comillas,22721,21.38,23.07,35.95,12.64,4.63,-1.23,1.78,2.54,16.05,4.9,55.78,1.9,-0.66,14.53,20.5,776.99,-0.03
112,112. Opañel,33883,24.99,19.87,36.55,14.76,5.46,-1.22,1.47,2.98,16.14,4.55,52.45,1.03,0.24,13.66,20.5,758.57,0.05
113,113. San Isidro,40368,23.78,18.54,36.0,13.93,5.07,-0.94,0.86,2.84,18.2,5.07,48.71,1.24,1.7,14.06,20.5,744.46,-0.29
114,114. Vista Alegre,47727,26.71,21.82,34.66,15.28,6.35,-1.53,1.01,3.56,17.44,4.17,56.83,1.66,0.55,13.24,20.5,725.52,0.08
115,115. Puerta Bonita,36798,27.62,16.86,35.81,15.94,7.26,-2.27,1.37,3.89,16.59,3.61,53.25,1.08,0.58,13.55,20.5,730.29,-0.03
116,116. Buenavista,49150,16.48,13.45,30.04,9.18,4.42,-0.36,-5.21,2.49,19.52,2.32,52.4,1.12,1.57,12.69,20.5,727.08,0.18
117,117. Abrantes,31691,24.37,17.19,32.88,13.89,6.69,-1.26,-0.07,3.81,20.16,4.19,53.06,2.58,0.71,12.59,20.5,713.89,-0.16
121,121. Orcasitas,23084,11.05,19.0,28.08,5.97,3.8,-0.66,-2.02,2.0,22.9,3.23,53.87,0.32,-1.07,13.51,25.91,496.27,-0.39
122,122. Orcasur,14390,20.0,14.38,35.18,11.2,6.61,-0.25,0.37,3.63,24.43,3.17,49.77,0.45,4.26,12.84,25.91,614.17,-0.36
